HORIZONTE->NOMBRE(S)........# : a | e | bt1 | bt2 | bc | c
HORIZONTE->Profundidad# cm: 5 | 25 | 40 | 70 | 89 | 115
HORIZONTE->muestra# cm: 17 | 33 | 50 | 79 | 97 | 125
HORIZONTE->Mat. orgánica# %: 3.71 | 0.52 | 0.48 | 0.47 | 0.38 | ---
HORIZONTE->C orgánico# %: 2.15 | 0.30 | 0.28 | 0.27 | 0.22 | ---
HORIZONTE->N total# %: 0.189 | --- | --- | --- | --- | ---
HORIZONTE->Relación C/N# ---: 11 | --- | --- | --- | --- | ---
HORIZONTE->Arcilla < 2µ# %: 24.3 | 14.8 | 38.0 | 33.8 | 23.7 | 21.0
HORIZONTE->Limo 2-50µ# %: 57.7 | 57.3 | 49.7 | 43.6 | 45.5 | 47.8
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 17.0 | 26.3 | 11.8 | 21.2 | 28.7 | 28.5
HORIZONTE->Fina 100-250µ# %: 1.0 | 1.6 | 0.5 | 1.4 | 2.1 | 2.7
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | vest. | vest. | vest. | vest.
HORIZONTE->Equiv.humedad# %: 29.1 | 24.5 | 48.5 | 52.1 | 32.6 | 27.8
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.7 | 6.9 | 7.6 | 8.3 | 8.6 | 8.7
HORIZONTE->pH agua (1:2,5)# ---: 6.5 | 7.8 | 8.6 | 9.3 | 9.3 | 9.3
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 7.4 | 3.8 | --- | --- | --- | ---
HORIZONTE->Mg++ intercambio# me/100g: 3.8 | 3.3 | --- | --- | --- | ---
HORIZONTE->Na+ intercambio# me/100g: 0.4 | 0.9 | 6.4 | 10.5 | 8.9 | 7.7
HORIZONTE->K+ intercambio# me/100g: 2.6 | 1.8 | 3.2 | 3.8 | 3.7 | 3.5
HORIZONTE->H+ intercambio# me/100g: 7.6 | 2.5 | --- | --- | --- | ---
HORIZONTE->(Na+/T)# %: 2.3 | 9.8 | 25.8 | 35.1 | 37.9 | 38.9
HORIZONTE->C.I.C., (T)# me/100g: 17.7 | 9.2 | 24.8 | 29.9 | 23.5 | 19.8
HORIZONTE->Suma bases (S)# me/100g: 14.2 | 9.8 | --- | --- | --- | ---
HORIZONTE->Sat.bases, (S/T)# %: 80 | 107 | --- | --- | --- | ---
