-      | -      | -     |
10314  | 10315  | 10316 |  10317
I      | I1     | III   |  IV
10-30  | 45-60  | 80-95 |  105-120
0.48   | 1.42   | 0.65  |  0.64
0.28   | 0.82   | 0.38  |  0.37
0.017  | 0.066  | 0.035 |  0.018
16.47  | 12.42  | 10.86 |  20.56
1.90   | 18.23  | 16.98 |  17.01
1.77   | 4.15   | 4.65  |  4.70
2.08   | 11..06 | 11.    85 |       11..20
0.27   | 0.58   | 0.21  |  0.33
94..19 | 68.81  | 68     87 |       68      43
-      | -      | -     |  -
1.47   | 1.21   | 1.89  |  2.97
0.09   | 0.11   | 0.20  |  0.06
0.0    | 0.0    | 0.0   |  0.0
5.3    | 5.4    | 5.5   |  5.7
4.3    | 4.0    | 4.0   |  4.2
44.90  | 52.50  | 72.40 |  45.90
9.69   | 14.01  | 18.33 |  16.89
0.03   | 0.02   | 0.02  |  0.02
2.31   | 16.06  | 14.30 |  14.58
19.30  | 8.60   | 8.70  |  6.70
