365c_inta_castelar: -|-|-|-|
NÂ° 				de registro: -|-|-|-|
Horizonte: A1|IIC1|IIIC2|IVC3|VC4
Profundidad 				(cm): 5-20|40-60|105-120|130-150|160-180
Mat. 				orgÃ¡nica (%): 1.40|0.60|2.86|0.98|-
C 				(%): 0.81|0.35|1.66|0.57|-
N 				(%): 0.084|0.076|0.170|0.07|-
C/N: 10|5|10|8|-
T 				                              <2 Âµ: 18.0|21.4|35.5|39.3|33.9
E 				                           2-20 Âµ: 11.4|15.3|40.8|41.4|55.9
X 				                           2-50 Âµ: 35.3|49.4|60.1|56.9|64.5
T 				                         50-74 Âµ: 21.4|12.9|2.9|1.9|1.1
U 				                       74-100 Âµ: 18.7|11.8|0.9|1.1|0.3
R 				                     100-250 Âµ: 6.3|4.4|0.4|0.7|0.2
A 				                     250-500 Âµ: 0.2|0.1|0.2|0.1|0.2
500-1000 Âµ: 0.1|-|-|-|-
1000-2000 Âµ: -|-|-|-|-
: -|-|-|-|
CO3Ca 				(%): 0|0|0|0|0
Equivalente 				de humedad  (%): 14.0|17.3|32.5|34.3|31.0
Resistencia 				de la pasta (Ohms/cm): 5522|1012|368|322|476
pH 				en pasta: 5.6|5.3|5.8|7.0|7.3
pH 				en agua (1:2,5): 4.9|5.4|6.0|7.2|7.7
pH 				en KCl (1:2,5): 4.9|4.7|5.3|6.2|6.3
Conductividad 				(mmhos/cm): -|2.60|11.24|10.43|6.64
Mg++: 3.6|3.8|-|-|-
Na+: 0.5|0.5|-|-|-
K+: 0.6|0.2|-|-|-
H+: 5.3|4.1|-|-|-
Na+ 				% del valor T: 5|4|-|-|-
Suma 				de bases, m.e./100 gr (S): 9.1|10.6|-|-|-
C.I.C., 				m.e./100 gr (T): 10.0|12.2|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T): 91|87|-|-|-
