117c_inta_castelar: -|-|-|-|
NÂ° 				de registro: -|-|-|-|
Horizonte: O1|A1|IIC1|IIIC2|IVC3
Profundidad 				(cm): -|5-15|25-35|50-80|100-130
Mat. 				orgÃ¡nica (%): -|7.00|0.12|-|-
C 				(%): -|4.06|0.07|-|-
N 				(%): -|0.420|-|-|-
C/N: -|10|-|-|-
T 				                              <2 Âµ: -|30.4|20.1|13.6|13.1
E 				                           2-20 Âµ: -|19.6|23.7|16.3|14.5
X 				                           2-50 Âµ: -|55.3|66.0|49.9|48.9
T 				                         50-74 Âµ: -|7.9|7.6|19.2|19.8
U 				                      74-100 Âµ: -|5.9|4.9|10.6|12.9
R 				                    100-250 Âµ: -|0.4|1.3|6.6|5.2
A 				                    250-500 Âµ: -|0.1|0.1|0.1|0.1
500-1000 Âµ: -|-|-|-|-
1000-2000 Âµ: -|-|-|-|-
: -|-|-|-|
CO3Ca 				(%): -|0|0|0|0
Equivalente 				de humedad  (%): -|36.9|19.0|11.6|11.0
Resistencia 				de la pasta (Ohms/cm): -|4142|4301|4142|3345
pH 				en pasta: -|4.9|5.5|6.5|6.5
pH 				en agua (1:2,5): -|5.5|6.0|6.8|7.0
pH 				en KCl (1:2,5): -|4.2|4.6|5.4|5.3
Conductividad 				(mmhos/cm): -|-|-|-|-
Mg++: -|3.7|3.7|-|2.4
Na+: -|1.7|0.7|-|1.2
K+: -|0.5|0.1|-|0.1
H+: -|15.9|4.1|-|1.6
Na+ 				% del valor T: -|7|7|-|14
Suma 				de bases, m.e./100 gr (S): -|15.4|9.6|9.0|8.0
C.I.C., 				m.e./100 gr (T): -|25.4|9.8|9.5|8.5
SaturaciÃ³n 				con bases, (%) (S/T): -|61|98|95|94
