er178c: -|-|-|-|-|-|
NÂº 				de registro: 6982|6983|6984|6985|6986|6987|6988
Horizonte: A11|A12|B1|B21t|B22t|B3|C
Profundidad 				(cm): 02-10|12-20|23-33|43-56|69-82|88-100|110-120
Materia 				orgÃ¡nica (%): 4.45|3.50|2.89|1.56|0.95|0.70|0.45
N 				(%): 0.21|0.17|0.14|0.10|0.05|0.05|0.04
C/N: 12|11|12|9|11|8|6
T 				                     < 2 Î¼: 25.50|26.15|29.16|43.16|42.68|37.42|36.09
E 				                   2-20 Î¼: 33.78|33.69|33.16|30.85|28.80|30.80|30.85
X 				                   2-50 Î¼: 61.20|63.72|61.37|51.50|51.60|56.19|52.93
T 				               50-100 Î¼: 6.21|7.40|5.36|3.51|3.96|2.83|2.78
U 				             100-500 Î¼: 7.02|2.65|4.00|1.73|1.72|3.53|2.04
R 				           500-1000 Î¼: 0.07|0.08|0.11|0.10|0.04|0.03|0.16
A: -|-|-|-|-|-|
: -|-|-|-|-|-|
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O: 6.2|6.2|6.1|6.1|6.5|6.6|6.6
pH 				ClK: 5.1|5.3|5.3|5.3|5.7|5.9|5.8
CE 				(mmhos/cm): 0.50|0.50|0.45|0.37|0.26|0.25|0.24
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 30.30|31.75|34.53|42.00|39.20|34.80|33.89
d 				    Ca++: 24.70|25.30|27.30|32.37|30.70|27.05|26.30
C 				 e: -|-|-|-|-|-|
a 				         Mg++: 3.25|3.70|3.99|5.90|4.70|4.10|3.95
t 				   c: -|-|-|-|-|-|
i 				   a     K+: 1.88|1.90|1.95|2.00|1.95|1.90|1.89
o 				  m: -|-|-|-|-|-|
n 				  b     Na+: 0.42|0.77|1.20|1.50|1.40|1.30|1.25
e 				  i: -|-|-|-|-|-|
s 				  o     H+: -|-|-|-|-|-|-
: -|-|-|-|-|-|
% 				Na/T: 1.39|2.43|3.47|3.57|3.57|3.73|3.67
: -|-|-|-|-|-|
Equivalente 				de humedad (%): 27.70|26.67|26.59|38.54|38.49|34.59|33.32
FÃ³sforo 				asimilable (ppm): -|-|-|-|-|-|-
