n_de_registro: 30555|30556|30557|30558
Horizonte: A|I|II|III
Profundidad 				(cm): 2-15|20-40|45-90|95-110
Mat. 				orgÃ¡nica (%): 15.62|4.13|0.42|0.12
C 				(%): 9.03|2.39|0.24|0.07
N 				(%): 0.785|0.188|-|-
C/N: 11|13|-|-
T 				                          <2 Âµ: 43.0|42.2|12.4|7.5
E 				                       2-20 Âµ: 27.3|43.9|16.1|7.5
X 				                       2-50 Âµ: 51.0|54.7|48.6|43.3
T 				                     50-74 Âµ: 4.1|1.9|25.6|40.5
U 				                   74-100 Âµ: 1.0|0.7|10.5|6.9
R 				                 100-250 Âµ: 0.9|0.5|2.9|1.8
A 				                 250-500 Âµ: -|-|-|-
: -|-|-|
Gravilla 				(> 7) Tosca  Ca %: -|-|-|-
CaCO3 				 (%) V: -|-|-|-
Equiv. 				de humedad (%): 47.7|41.2|14.3|6.9
Resistencia 				de la pasta (Ohms/cm): 1682|2243|4113|5609
pH 				en pasta: 4.2|4.2|4.2|4.2
pH 				en agua (1 . 2,5): 4.6|4.7|4.7|6.9
pH 				en l N KCl (1: 2,5): 3.6|3.7|3.7|5.2
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: 5.2|5.5|2.4|1.0
Na+: 1.4|1.1|0.8|0.5
K+: 0.9|0.6|0.2|0.2
% 				Na+ 				en cambio de v. T: 3.5|3.7|9.3|8.1
% 				de agua de saturaciÃ³n: 88|77|42|40
Valor 				S (m.e./100 g): 20.6|17.8|7.6|5.5
H 				de cambio (m.e./100 g): 23.0|12.7|6.3|3.6
Valor 				T (m.e./100) NH4++ 				 o 				Na+: 39.5|29.3|8.6|6.1
% 				de saturaciÃ³n de T: 52|61|88|90
% 				de saturaciÃ³n de S + H: 47|58|55|60
FÃ³sforo 				asimilable (ppm): 5.6|2.4|3.5|15.2
Factor 				de Humedad: 1.15|1.04|1.01|1.01
