116c_inta_castelar: -|-|-|-|
NÂ° 				de registro: -|-|-|-|
Horizonte: A1|IIC1|IIIC2|IVC3|VC4
Profundidad 				(cm): 5-15|30-42|58-78|100-120|138-150
Mat. 				orgÃ¡nica (%): 4.34|0.45|0.03|-|-
C 				(%): 2.52|0.26|0.02|-|-
N 				(%): 0.140|-|-|-|-
C/N: 18|-|-|-|-
T 				                              <2 Âµ: 25.2|17.1|18.6|16.5|12.6
E 				                           2-20 Âµ: 23.2|25.0|13.0|11.7|13.3
X 				                           2-50 Âµ: 66.3|71.9|69.6|70.8|55.2
T 				                         50-74 Âµ: 5.9|6.5|7.8|9.2|20.5
U 				                      74-100 Âµ: 2.3|2.8|2.8|3.1|11.2
R 				                    100-250 Âµ: 0.2|0.3|0.5|0.3|0.4
A 				                    250-500 Âµ: 0.1|0.2|0.7|0.1|0.1
500-1000 Âµ: -|-|-|-|-
1000-2000 Âµ: -|-|-|-|-
: -|-|-|-|
CO3Ca 				(%): 0|1.2|vest. 				(n)|vest. 				(n)|vest. 				(n)
Equivalente 				de humedad  (%): 25.6|22.7|19.6|15.3|7.6
Resistencia 				de la pasta (Ohms/cm): 1398|699|373|342|466
pH 				en pasta: 7.0|8.0|7.4|7.2|7.4
pH 				en agua (1:2,5): 7.6|9.0|8.2|7.8|7.9
pH 				en KCl (1:2,5): 6.1|7.5|7.1|6.9|6.7
Conductividad 				(mmhos/cm): -|5.67|13.18|15.06|10.85
Mg++: 8.3|-|-|-|-
Na+: 2.4|6.2|-|-|-
K+: 0.5|0.2|-|-|-
H+: 4.1|-|-|-|-
Na+ 				% del valor T: 12|32|-|-|-
Suma 				de bases, m.e./100 gr (S): 19.2|-|-|-|-
C.I.C., 				m.e./100 gr. (T): 19.4|19.6|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T): 99|-|-|-|-
