er172c: -|-|-|-|-|-|-|
NÂº 				de registro: 6613|6614|6615|6616|6617|6618|6619|6620
Horizonte: A11|A12|A3|B21t|B22t|B31|B32|C
Profundidad 				(cm): 01-16|20-30|35-45|50-68|75-85|95-105|115-127|138-150
Materia 				orgÃ¡nica (%): 3.32|2.40|1.09|1.03|0.90|0.75|0.15|0.08
N 				(%): 0.18|0.11|0.07|0.06|0.05|0.04|0.03|0.02
C/N: 10|12|9|9|10|10|3|2
T 				                     < 2 Î¼: 27.88|30.38|30.78|43.70|43.65|40.41|38.02|42.28
E 				                   2-20 Î¼: 35.89|35.75|34.57|31.93|31.80|34.29|36.98|39.29
X 				                   2-50 Î¼: 59.32|59.35|56.93|51.81|48.63|51.97|56.48|52.92
T 				               50-100 Î¼: 7.51|7.05|6.31|3.02|3.00|3.66|2.00|2.52
U 				             100-500 Î¼: 5.23|3.15|5.90|5.05|4.71|3.93|3.46|2.16
R 				           500-1000 Î¼: 0.06|0.07|0.08|0.04|0.01|0.03|0.04|0.12
A 				         1000-2000 Î¼: -|-|-|-|-|-|-|-
: -|-|-|-|-|-|-|
CO3Ca 				(%): 0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O: 5.4|5.4|5.4|5.6|6.3|6.9|7.1|7.2
pH 				ClK: 4.8|4.7|4.8|4.9|5.4|6.0|6.2|6.2
CE 				(mmhos/cm): 0.72|0.22|0.25|0.24|0.19|0.30|0.35|0.21
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T: 28.20|30.13|30.00|40.10|40.00|36.70|34.70|36.80
d 				    Ca++: 22.10|23.60|23.50|30.60|31.00|29.10|27.50|23.80
C 				 e: -|-|-|-|-|-|-|
a 				         Mg++: 4.10|4.35|4.30|5.90|6.00|5.00|4.70|3.40
t 				   c: -|-|-|-|-|-|-|
i 				   a     K+: 1.41|1.60|1.60|1.80|1.70|1.65|1.63|1.99
o 				  m: -|-|-|-|-|-|-|
n 				  b     Na+: 0.38|0.48|0.50|0.79|0.70|0.67|0.58|0.65
e 				  i: -|-|-|-|-|-|-|
s 				  o     H+: -|-|-|-|-|-|-|-
: -|-|-|-|-|-|-|
% 				Na/T: 1.4|1.6|1.7|2.0|1.8|1.8|1.7|1.8
: -|-|-|-|-|-|-|
Equival. 				de humedad (%): 25.76|26.21|25.19|37.29|40.84|37.01|37.44|40.12
FÃ³sforo 				asimilable (ppm): -|-|-|-|-|-|-|-
