350c_inta_castelar: -|-|-|-|-|-|
NÂ° 				de registro: -|-|-|-|-|-|
Horizonte: AP|A12|IIB21|IIB22|IIIB23|IIIB31|IIIB32
Profundidad 				(cm): 4-10|18-26|32-38|45-55|62-94|100-130|140-160
Mat. 				orgÃ¡nica (%): 3.48|0.41|1.05|0.64|-|-|-
C 				(%): 2.02|0.24|0.61|0.37|-|-|-
N 				(%): 0.228|-|0.091|0.061|-|-|-
C/N: 9|-|7|6|-|-|-
T 				                               <2 Âµ: 24.9|28.8|37.3|52.4|53.1|39.5|31.5
E 				                            2-20 Âµ: 26.7|25.5|21.6|17.0|21.0|28.1|33.3
X 				                           2-50 Âµ: 52.0|51.0|44.5|37.3|38.9|51.1|55.6
T 				                         50-74 Âµ: 8.0|8.2|7.3|3.7|2.5|3.6|6.8
U 				                       74-100 Âµ: 6.9|4.6|5.4|1.8|0.9|1.3|3.5
R 				                     100-250 Âµ: 5.4|4.1|3.3|2.8|2.3|2.6|1.7
A 				                     250-500 Âµ: 2.3|2.9|1.7|1.9|1.3|1.8|0.8
500-1000 Âµ: 0.5|0.4|0.5|0.1|0.3|0.1|0.1
1000-2000 Âµ: -|-|-|-|-|-|-
: -|-|-|-|-|-|
CO3Ca 				(%): 0|0|0|0|0.7|vest 				(n)|0
Equivalente 				de humedad  (%): 24.0|23.8|28.7|33.8|35.0|31.4|31.8
Resistencia 				de la pasta (Ohms/cm): 4872|5522|3248|2436|1949|2598|2517
pH 				en pasta: 5.6|5.9|6.5|6.8|7.4|7.6|7.5
pH 				en agua (1:2,5): 6.5|6.4|7.0|7.5|8.1|8.4|8.1
pH 				en KCl (1:2,5): 5.2|5.4|5.7|6.1|6.8|6.5|6.2
Conductividad 				(mmhos/cm): -|-|-|-|-|-|-
Mg++: 2.4|1.4|6.3|9.0|-|-|8.4
Na+: 0.9|0.3|0.5|0.6|1.5|2.1|5.0
K+: 1.5|1.4|2.6|3.3|5.5|3.1|2.7
H+: 8.0|6.7|4.7|4.8|-|-|3.4
Na+ 				% del valor T: 5|2|3|2|4|8|25
Suma 				de bases, m.e./100 gr (S): 13.5|12.6|20.7|27.1|-|-|24.2
C.I.C., 				m.e./100 gr (T): 17.2|13.6|19.8|25.9|34.4|25.4|20.4
SaturaciÃ³n 				con bases, (%) (S/T): 78|93|100|100|-|-|100
