368c_inta_castelar: -|-|-|
NÂ° 				de registro: -|-|-|
Horizonte: C1|C2|C3|C4
Profundidad 				(cm): 1-3|5-8|10-12|13-16
Mat. 				orgÃ¡nica (%): 4.48|2.07|0.95|0.95
C 				(%): 2.60|1.20|0.55|0.55
N 				(%): 0.252|0.160|0.040|0.115
C/N: 10|8|8|5
T 				                              <2 Âµ: 29.8|26.5|24.2|23.4
E 				                           2-20 Âµ: 33.9|29.8|24.4|26.7
X 				                           2-50 Âµ: 58.9|58.6|57.6|62.7
T 				                         50-74 Âµ: 7.7|9.1|9.9|9.5
U 				                       74-100 Âµ: 2.9|5.3|7.9|3.9
R 				                     100-250 Âµ: 0.5|0.3|0.2|0.1
A 				                     250-500 Âµ: 0.2|0.2|0.2|0.4
500-1000 Âµ: -|-|-|-
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|0|0|0
Equivalente 				de humedad  (%): 28.5|23.2|21.9|23.1
Resistencia 				de la pasta (Ohms/cm): 2598|3735|6171|4995
pH 				en pasta: 5.1|4.6|4.7|4.8
pH 				en agua (1:2,5): 5.8|5.4|5.6|4.9
pH 				en KCl (1:2,5): 4.6|3.6|3.6|3.7
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: 4.3|3.2|3.2|3.6
Na+: 1.1|1.1|1.2|0.6
K+: 0.6|0.3|0.2|0.2
H+: 10.7|8.7|8.6|9.0
Na+ 				% del valor T: 5|6|8|4
Suma 				de bases, m.e./100 gr (S): 15.3|11.4|8.8|8.8
C.I.C., 				m.e./100 gr (T): 21.1|17.1|14.5|16.6
SaturaciÃ³n 				con bases, (%) (S/T): 73|67|61|53
NÂ° 				de registro: -|-|-|
Horizonte: C5|C6|C7|C8
Profundidad 				(cm): 18-20|30-60|65-70|80-110
Mat. 				orgÃ¡nica (%): 1.14|-|-|-
C 				(%): 0.66|-|-|-
N 				(%): 0.115|-|-|-
C/N: 6|-|-|-
T 				                              <2 Âµ: 23.4|21.6|11.9|31.4
E 				                           2-20 Âµ: 26.7|13.7|3.8|31.2
X 				                           2-50 Âµ: 60.3|49.3|19.8|61.1
T 				                         50-74 Âµ: 12.3|17.7|36.4|5.5
U 				                       74-100 Âµ: 3.7|9.3|27.0|1.5
R 				                     100-250 Âµ: 0.2|2.0|4.8|0.4
A 				                     250-500 Âµ: 0.1|0.1|0.1|0.1
500-1000 Âµ: -|-|-|-
1000-2000 Âµ: -|-|-|-
: -|-|-|
CO3Ca 				(%): 0|0|0|0
Equivalente 				de humedad  (%): 22.6|19.5|8.4|27.1
Resistencia 				de la pasta (Ohms/cm): 4995|3330|66000|3830
pH 				en pasta: 4.7|6.2|6.8|5.9
pH 				en agua (1:2,5): 5.0|6.6|7.0|6.4
pH 				en KCl (1:2,5): 3.7|5.1|5.4|4.9
Conductividad 				(mmhos/cm): -|-|-|-
Mg++: 3.9|5.5|3.3|3.8
Na+: 0.5|1.0|0.7|1.2
K+: 0.2|0.1|0.1|0.3
H+: 9.0|3.3|1.2|5.6
Na+ 				% del valor T: 3|8|10|8
Suma 				de bases, m.e./100 gr (S): 8.1|11.2|7.0|15.7
C.I.C., 				m.e./100 gr (T): 16.4|12.3|6.7|14.7
SaturaciÃ³n 				con bases, (%) (S/T): 49|91|100|100
