317c_inta_castelar: -|-|-|-|-|-|
NÂ° 				de registro: -|-|-|-|-|-|
Horizonte: A1|IIC1|IIIC2|IVC3|VC4|VIC5|VIIC6
Profundidad 				(cm): 10-20|58-84|92-100|108-120|126-130|136-142|148-156
Mat. 				orgÃ¡nica (%): 1.91|0.03|-|-|-|-|-
C 				(%): 1.11|0.02|-|-|-|-|-
N 				(%): 0.120|-|-|-|-|-|-
C/N: 9|-|-|-|-|-|-
T 				                              <2 Âµ: 59.6|30.7|8.0|7.0|6.5|6.0|4.0
E 				                           2-20 Âµ: 30.7|36.6|0.6|0.3|0.3|0.2|0.2
X 				                           2-50 Âµ: 33.6|51.3|1.3|1.0|0.8|0.5|0.5
T 				                         50-74 Âµ: 0.2|0.8|0.1|0.1|0.1|0.1|0.1
U 				                      74-100 Âµ: 0.3|1.1|3.1|1.7|3.8|3.2|3.0
R 				                    100-250 Âµ: 5.7|15.5|87.4|90.1|88.7|90.1|92.3
A 				                    250-500 Âµ: 0.6|0.2|0.1|0.1|0.1|0.1|0.1
500-1000 Âµ: -|-|-|-|-|-|-
1000-2000 Âµ: -|-|-|-|-|-|-
: -|-|-|-|-|-|
CO3Ca 				(%): 0|0.4|0|0|0|0|0
Equivalente 				de humedad  (%): 52.5|27.0|1.5|2.8|2.6|2.6|1.5
Resistencia 				de la pasta (Ohms/cm): 980|483|8668|1918|2132|2203|1492
pH 				en pasta: 5.9|7.5|7.6|7.2|7.4|6.8|6.9
pH 				en agua (1:2,5): 7.3|8.4|7.9|8.0|7.6|7.5|7.2
pH 				en KCl (1:2,5): 5.1|6.8|6.5|6.3|6.3|6.3|6.4
Conductividad 				(mmhos/cm): 1.60|8.12|-|-|-|-|-
Mg++: 13.4|-|0.60|0.80|1.05|0.60|0.60
Na+: 3.2|4.8|0.40|0.35|0.45|0.55|0.40
K+: 0.7|0.4|0.05|0.05|0.10|0.10|0.05
H+: 8.7|-|-|0.50|0.40|0.80|0.60
Na+ 				% del valor T: 8|21|16|13|16|16|17
Suma 				de bases, m.e./100 gr (S): 36.7|-|2.70|2.90|3.10|3.30|2.60
C.I.C., 				m.e./100 gr (T): 40.8|22.4|2.45|2.60|2.75|3.35|2.40
SaturaciÃ³n 				con bases, (%) (S/T): 90|-|100|100|100|99|100
