Horizonte|ap|ac|c
Profundidad de la muestra (cm)|0-17|17-42|42 a +
Materia Orgánica (%)|1,37|0,68|
Carbono Orgánico (%)|0,81|0,44|
Nitrógeno total (%)|0,10|0,07|
Relación C/N|8,1|6,3|
Arcilla, <2 μ (%)|7,5|7,7|7,3
Limo, 2-50 μ (%)|16,5|15,9|11,9
Arena muy fina, 50-100 μ (%)|56,9|46,9|76,4
Arena fina, 100-250 μ (%)|19,6|29,1|4,8
Arena media, 250-500 μ (%)|0,1|0,1|0,1
Arena gruesa, 500-1000 μ (%)|0,2|0,1|0,2
Arena muy gruesa, 1-2 mm (%)|||
Calcáreo, CaCO3 (%)|0,0|0,0|0,0
Equivalente de humedad (%)|9,2|9,0|7,1
pH en pasta|5,6|6,2|6,7
pH en agua 1:2,5|5,7|6,3|6,8
Mg++|0,7|1,0|0,7
Na+|0,2|0,1|0,3
K+|1,8|1,3|0,6
H+|1,9|1,1|0,5
Suma de bases, me/100 gr (S)|7,5|8,1|7,2
Capacidad de intercambio catiónico, me/100 gr (T)|9,4|9,0|7,5
Saturación con bases, % (S/T)|80|90|96
