er3_63c|||||||
Horizonte|A11|A12|B1|B21t|B22t|B3ca|Cca
Profundidad 				(cm)|00-10|10-23|23-30|30-45|45-66|66-95|95 (+)
Mat.orgÃ¡nica 				(%)|4,82|3,37|2,41|1,72|1,37|0,76|0,34
C 				(%)|2,80|1,96|1,40|1,00|0,80|0,44|0,20
N 				(%)|0,21|0,14|0,10|0,07|0,06|0,03|0,02
C/N|13|14|14|14|13|14|10
1000-2000 				Âµ|0,02|0,04|0,09|0,01|0,11|0,07|0,06
CO3Ca 				(%)|0,0|0,0|0,0|0,0|0,0|9,07|10,08
% 				SaturaciÃ³n de Agua|||||||
Equivalente 				de Humedad (%)|||||||
pH 				en pasta|||||||
pH 				en agua (1:2,5)|5,8|5,7|5,9|6,3|6,3|7,3|7,3
pH 				en ClK (1:2,5)|5,6|5,1|5,3|5,6|5,9|7,1|7,1
Conductividad 				(mmhos/cm)|||||||
Sales 				solubles grs (%)|||||||
Resistencia 				en pasta|||||||
Mg 				++|0,97|3,11|3,89|3,78|5,56|ND|ND
Na 				++|ND|ND|ND|ND|ND|ND|1,95
K 				++|0,08|0,16|0,20|0,24|0,30|0,28|0,26
Valor 				S (m.e./ 100 gr.)|21,50|18,61|23,17|28,21|34,09|ND|ND
H 				de cambio (m.e. / 100 gr.)|5,02|3,94|5,61|2,2|6,45|ND|ND
Valor 				T (m.e. / 100 gr)|26,52|22,55|28,78|30,41|40,55|38,13|36,5
% 				de saturaciÃ³n de T|81|82|90|92|84|ND|ND
% 				de saturaciÃ³n de S + H|||||||
% 				Na / T|-|-|-|-|-|-|5,3
FÃ³sforo 				asimilable ppm|6,7|4,9|4,9|3,4|3,4|3,4|2,4
