139c_inta_castelar|||||
NÂ° 				de registro|||||
Horizonte|A11|A12|A13|IIC1|C2
Profundidad 				(cm)|3-8|15-28|38-50|53-73|70-86
Mat. 				orgÃ¡nica (%)|4.07|1.59|1.36|0.48|-
C 				(%)|2.36|0.92|0.79|0.28|-
N 				(%)|0.2747|0.1526|0.0763|-|-
C/N|9|6|10|-|-
T 				                              <2 Âµ|26.2|27.8|27.3|12.4|1.8
E 				                           2-20 Âµ|12.7|10.2|13.4|8.3|0.5
X 				                           2-50 Âµ|20.7|17.1|18.6|18.3|4.5
T 				                         50-74 Âµ|0.9|1.9|1.5|0.5|0.1
U 				                       74-100 Âµ|0.6|2.2|1.6|0.7|0.1
R 				                     100-250 Âµ|30.3|30.4|29.7|45.1|60.9
A 				                     250-500 Âµ|17.9|19.8|18.6|20.2|29.8
500-1000 Âµ|3.4|0.8|2.6|2.7|2.6
1000-2000 Âµ|-|-|0.1|-|-
|||||
CO3Ca 				(%)|0|vest 				(n)|vest 				(n)|0.1|0.2
Equivalente 				de humedad  (%)|20.5|18.3|21.5|8.3|1.2
Resistencia 				de la pasta (Ohms/cm)|2867|3505|2230|4479|14656
pH 				en pasta|5.5|5.7|7.0|7.7|7.9
pH 				en agua (1:2,5)|5.7|6.2|7.8|8.2|8.6
pH 				en KCl (1:2,5)|5.1|5.3|6.7|7.2|7.5
Conductividad 				(mmhos/cm)|-|-|-|-|-
Mg++|1.4|-|-|-|-
Na+|1.1|0.5|0.6|0.4|-
K+|0.8|0.4|0.4|0|-
H+|7.6|-|-|-|-
Na+ 				% del valor T|5|2|2|4|-
Suma 				de bases, m.e./100 gr (S)|16.6|-|-|-|-
C.I.C., 				m.e./100 gr (T)|20.5|23.7|24.7|8.9|-
SaturaciÃ³n 				con bases, (%) (S/T)|81|-|-|-|-
