er786c||||||
NÂº 				de registro|5329|5330|5331|5332|5333|5334
Horizonte|Ap|B21t|B22tca|B23tca|B3ca|Cca
Profundidad 				(cm)|00-16|16-33|33-74|74-90|90-107|117+
Materia 				orgÃ¡nica (%)|4.71|2.96|1.28|0.75|0.23|0.15
N 				(%)|0.21|0.13|0.06|0.05|0.03|0.15
C/N|13|13|12|10|5|5
T 				                     < 2 Î¼|46.40|71.30|62.31|55.80|53.50|47.20
E 				                   2-20 Î¼|23.60|19.27|18.20|21.60|39.90|36.70
X 				                   2-50 Î¼|51.80|27.60|36.90|43.50|46.00|52.40
T 				               50-100 Î¼|1.40|0.82|0.65|0.53|0.44|0.28
U 				             100-500 Î¼|0.43|0.20|0.16|0.10|0.05|0.15
R 				           500-1000 Î¼|0.02|0.04|0.04|0.03|0.01|-
A 				         1000-2000 Î¼|-|0.04|-|0.04|-|-
||||||
CO3Ca 				(%)|-|2.2|12.9|10.3|5.9|5.1
pH 				H2O|6.7|7.5|7.9|7.9|7.8|7.8
pH 				ClK|7.0|7.8|8.0|8.0|7.9|7.8
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|43.70|48.50|-|-|45.40|41.20
d 				    Ca++|37.80|41.70|-|-|42.10|38.20
C 				 e||||||
a 				         Mg++|2.90|3.50|-|-|2.00|1.20
t 				   c||||||
i 				   a     K+|0.95|0.61|0.39|0.47|0.36|0.73
o 				  m||||||
n 				  b     Na+|0.21|0.43|0.53|0.43|0.53|0.75
e 				  i||||||
s 				  o     H+|-|-|-|-|-|-
||||||
Equivalente 				de humedad (%)|39.29|47.63|46.58|44.81|42.35|38.52
