381c_inta_castelar|||||
NÂ° 				de registro|||||
Horizonte|A1|IIB21t|IIB22t|IIIB23|IVC
Profundidad 				(cm)|5-10|19-40|60-75|85-100|120-140
Mat. 				orgÃ¡nica (%)|3.17|1.07|0.26|-|-
C 				(%)|1.84|0.62|0.15|-|-
N 				(%)|0.191|0.076|-|-|-
C/N|10|-|-|-|-
T 				                               <2 Âµ|25.2|37.8|44.3|50.6|24.9
E 				                            2-20 Âµ|15.0|14.1|12.9|17.7|4.8
X 				                            2-50 Âµ|32.1|28.1|25.7|28.3|16.8
T 				                          50-74 Âµ|19.2|11.7|10.3|11.5|16.5
U 				                       74-100 Âµ|19.1|18.5|16.3|7.4|33.1
R 				                     100-250 Âµ|4.1|3.8|3.3|1.8|8.6
A 				                     250-500 Âµ|0.3|0.1|0.1|0.4|0.1
500-1000 Âµ|-|-|-|-|-
1000-2000 Âµ|-|-|-|-|-
|||||
CO3Ca 				(%)|0|0|vest 				(n)|vest 				(n)|vest 				(n)
Equivalente 				de humedad  (%)|22.8|35.1|41.6|40.0|20.3
Resistencia 				de la pasta (Ohms/cm)|3248|601|212|203|300
pH 				en pasta|4.8|6.3|7.3|7.2|7.3
pH 				en agua (1:2,5)|5.7|7.4|7.6|7.6|7.9
pH 				en KCl (1:2,5)|4.1|5.6|6.5|6.7|6.6
Conductividad 				(mmhos/cm)|-|3.95|12.58|17.39|12.89
Mg++|3.2|5.5|-|-|-
Na+|1.5|3.6|-|-|-
K+|0.4|0.5|-|-|-
H+|10.6|3.4|-|-|-
Na+ 				% del valor T|10|17|-|-|-
Suma 				de bases, m.e./100 gr (S)|10.7|20.2|-|-|-
C.I.C., 				m.e./100 gr (T)|14.7|21.1|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T)|73|96|-|-|-
