er3_45c|||||
Horizonte|A1|B21|B22|B31ca|B32ca
Profundidad 				(cm)|00-14|16-25|30-43|60-74|100-120
Mat.orgÃ¡nica 				(%)|3,49|1,94|1,51|0,53|0,13
C 				(%)|2,03|1,13|0,88|0,31|0,08
N 				(%)|0,202|0,117|0,106|0,038|ND
C/N|10|9|8|8|ND
|||||
CO3Ca 				(%)|0,0|0,0|0,0|0,0|0,0
% 				SaturaciÃ³n de Agua|-|-|-|-|-
Equivalente 				de Humedad (%)|31,9|41,7|48,3|41,2|39,1
pH 				en pasta|5,5|6,2|6,8|7,8|7,9
pH 				en agua (1:2,5)|5,8|6,6|7,2|8,2|8,4
pH 				en ClK (1:2,5)|5,1|5,4|6,0|6,0|6,9
Conductividad 				(mmhos/cm)|||||
Sales 				solubles grs (%)|||||
Resistencia 				en pasta|||||
Mg 				++|3,0|3,1|3,4|ND|ND
Na 				++|1,3|2,0|2,7|3,0|2,8
K 				++|0,4|0,6|0,7|0,7|0,7
Valor 				S (m.e./ 100 gr.)|24,5|35,2|41,5|ND|ND
H 				de cambio (m.e. / 100 gr.)|3,8|3,2|2,1|ND|ND
Valor 				T (m.e. / 100 gr)|27,2|37,7|43,1|34,6|30,6
% 				de saturaciÃ³n de T|90|93|96|-|-
% 				de saturaciÃ³n de S + H|-|-|-|-|-
% 				Na / T|4,8|5,3|6,3|8,7|9,2
