er4_23c|||||
Horizonte|A2|B21t|B22t|B3ca|Cca
Profundidad 				(cm)|5-17|35-45|54-66|73-85|100-120
Mat.orgÃ¡nica 				(%)|3,44|1,72|1,03|0,34|0,17
C 				(%)|2,0|1,0|0,6|0,2|0,1
N 				(%)|0,1|0,1|0,06|0,03|ND
C/N|11|10|9|8|ND
CO3Ca 				(%)|0,0|0,0|0,2|2,6|3,6
% 				SaturaciÃ³n de Agua|||||
Equivalente 				de Humedad (%)|27,8|40,2|41,3|41,9|38,6
pH 				en pasta|5,4|6,5|7,2|7,5|7,5
pH 				en agua (1:2,5)|5,5|6,8|7,5|7,9|7,9
pH 				en ClK (1:2,5)|5,0|6,0|6,4|6,8|6,8
Conductividad 				(mmhos/cm)|||||
Sales 				solubles grs (%)|||||
Resistencia 				en pasta|||||
Mg 				++|2,3|5,8|ND|ND|ND
Na 				++|0,6|1,9|2,2|2,2|2,1
K 				++|0,3|0,4|0,5|0,5|0,5
Valor 				S (m.e./ 100 gr.)|16,7|36,5|ND|ND|ND
H 				de cambio (m.e. / 100 gr.)|3,8|1,9|ND|ND|ND
Valor 				T (m.e. / 100 gr)|22,6|39,3|40,9|34,5|30,3
% 				de saturaciÃ³n de T|74|93|ND|ND|ND
% 				de saturaciÃ³n de S + H|||||
% 				Na / T|2,65|4,83|5,38|6,38|6,93
