er7115c|||||||
NÂº de registro|1698|1699|1700|1701|1702|1703|1704
Horizonte|A11|A12|A2|B21t|B22t|B3ca|Cca
Profundidad (cm)|05-25|35-42|50-60|65-82|95-108|115-130|150-160
Mat.orgÃ¡nica (%)|3.2|3.9|2.5|1.6|0.4|0.3|0.1
N (%)|0.14|0.14|0.09|0.08|0.04|0.03|0.04
C/N|13|15|16|11|6|5|1
|||||||
CO3Ca (%)|0.0|0.0|0.0|0.0|0.0|0.23|0.45
pH H2O|6.7|6.7|6.7|6.8|7.0|7.7|7.9
pH ClK|6.3|5.7|5.8|5.5|5.5|6.3|6.6
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =  Valor T|32.0|28.4|24.1|37.5|37.0|38.0|34.0
|||||||
d       Ca ++|24.0|19.8|14.2|24.8|24.8|29.5|N.D.
C     e|||||||
a              Mg++|3.2|1.4|1.6|2.8|4.0|3.0|N.D.
t      C|||||||
i       a       K+|0.8|0.3|0.3|0.9|1.2|1.2|1.2
o     m|||||||
n     b       Na+|0.5|0.5|0.5|0.7|0.7|0.8|0.8
e      i|||||||
s      o       H+|-|-|-|-|-|-|-
% Na/T|1.6|1.8|2.1|1.9|1.9|2.1|2.4
Equivalente de humedad (%)|32.25|31.35|20.00|44.69|48.10|45.99|10.15
P asimilable (ppm)|3.78|3.77|3.03|3.02|3.02|2.33|1.71
