er327c|||||
NÂº 				de registro|||||
Horizonte|A1|B21 				t|B21tca|B31cacs|B32ca
Profundidad 				(cm)|00-12|20-35|45-60|75-90|100-115
Materia 				orgÃ¡nica (%)|3.57|2.23|1.82|0.63|0.20
C 				(%)|2.08|1.30|1.06|0.37|0.12
N 				(%)|0.198|0.123|0.095|0.037|N.D
C/N|11|11|11|10|N.D
|||||
CaCO3 				(%)|0.0|Vest.|0.8|3.1|4.9
pH 				H2O|6.3|7.2|7.7|7.6|8.0
|||||
Capacidad 				de intercambio   cationico 				(m.e./100 g) = Valor 				T|32.8|39.6|44.7|39.4|35.6
Equivalente 				de humedad (%)|29.8|36.0|42.0|36.7|39.4
