n_de_registro|30551|30552|30553|30554
Horizonte|A|I|II|III
Profundidad 				(cm)|1-10|15-29|35-60|65-140
Mat. 				orgÃ¡nica (%)|14.64|2.99|0.17|0.07
C 				(%)|8.46|1.73|0.10|0.04
N 				(%)|0.801|0.265|-|-
C/N|10.6|6.5|-|-
T 				                               <2 Âµ|28.9|29.8|5.7|5.9
E 				                            2-20 Âµ|24.0|27.0|4.8|3.8
X 				                            2-50 Âµ|44.0|52.0|23.3|22.3
T 				                          50-74 Âµ|9.6|12.3|46.9|46.7
U 				                       74-100 Âµ|16.9|5.2|22.6|23.2
R 				                     100-250 Âµ|0.6|0.7|1.5|1.9
A 				                     250-500 Âµ|-|-|-|-
Gravilla 				(> 2)  Tosca Ca %|-|-|-|-
CO3Ca 				(%) V|-|-|-|-
Equivalente 				de humedad  (%)|43.8|30.4|6.7|6.3
Resistencia 				de la pasta (Ohms/cm)|2054|1467|1174|7.83
pH 				en pasta|4.9|5.3|6.3|6.6
pH 				en agua (1:2,5)|5.3|5.7|6.5|7.0
pH 				en 1 N KCl (1:2,5)|4.4|4.7|6.0|6.0
Conductividad 				(mmhos/cm)|-|-|-|-3.4
Mg++|5.5|5.4|1.6|1.8
Na+|1.4|1.9|1.2|0.5
K+|0.6|0.3|0.1|0.1
% 				Na+ 				en cambio de v. T|4.2|8|25|10
% 				de agua de saturaciÃ³n|96|56|41|37
Valor 				S (m.e./100 g)|22.7|19.3|5.1|5.5
H 				de cambio (m.e./100 g)|15.7|9.3|2.4|2.4
Valor 				T (m.e./100) NH4++ 				 o 				Na+|33.3|22.2|4.8|5.0
% 				de saturaciÃ³n de T|68|87|100|100
% 				de saturaciÃ³n de S + H|59|67|52|70
FÃ³sforo 				asimilable (ppm)|6.5|0.7|3.7|3.0
Factor 				de humedad|1.06|1.03|1.00|1.01
