er246c||||
NÂ° 				de registro|907|908|909|910
Horizonte|Ap|AC|C1|C2
Profundidad 				(cm)|05-16|28-42|65-85|140-160
Mat.orgÃ¡nica 				(%)|0,42|0,21|0,17|0,00
N 				(%)|-|-|-|-
C/N|-|-|-|-
Gravas|1,10|1,40|0,50|1,30
CO3Ca 				(%)|0,0|0,0|0,0|0,0
pH 				H2O|5,4|5,6|5,6|5,7
pH 				ClK|4,4|4,4|4,4|4,8
Capacidad 				de intercambio catiÃ³nico (m.e./100 				g) =  Valor 				T|1,22|1,02|1,02|0,61
% 				Na/T|4,92|4,90|6,86|21,31
Equivalente 				de  humedad  (%)|1,9|1,7|1,7|1,8
SaturaciÃ³n 				de bases (%)|26,0|30,0|20,0|46,0
