er7127c||||||
NÂº 				de registro|2323|2324|2325|2326|2327|2328
Horizonte|A1|A3|B21t|B22t|B3|C
Profundidad 				(cm)|05-12|20-28|36-45|52-60|70-79|90-110
Mat.orgÃ¡nica 				(%)|4.24|3.49|1.44|0.51|0.44|0.36
N 				(%)|0.21|0.15|0.09|0.07|0.05|0.04
C/N|12|14|10|4|5|5
||||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0|0.0|0.0
pH 				H2O|6.5|5.9|6.1|6.2|6.3|6.5
pH 				ClK|5.7|5.3|5.3|5.3|5.4|5.2
Conductividad 				(mmhos/cm)|2.502|1.270|0.469|0.308|0.289|0.115
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|21.19|23.41|38.55|37.36|36.27|30.77
||||||
d 				      Ca ++|14.51|17.13|31.70|31.94|30.41|25.03
C 				    e||||||
a 				             Mg++|2.00|2.20|2.37|2.80|3.14|2.90
t 				     C||||||
i 				      a       K+|1.32|1.44|1.00|0.92|0.76|0.95
o 				    m||||||
n 				    b       Na+|0.40|0.47|0.95|0.87|0.96|0.88
e 				     i||||||
s 				     o       H+|-|-|-|-|-|-
% 				Na/T|1.89|2.01|2.52|2.33|2.65|3.09
Equivalente 				de humedad (%)|25.98|28.10|38.98|35.40|34.15|30.80
P 				asimilable (ppm)|26.09|12.63|6.66|4.79|2.93|1.72
