351c_inta_castelar||||||
NÂ° 				de registro||||||
Horizonte|Enlame|IIC1|IIIC2|IVC3|IVC4|VC5
Profundidad 				(cm)|2-4|10-30|40-55|65-90|120-130|170-180
Mat. 				orgÃ¡nica (%)|3.48|0.64|0.52|-|-|-
C 				(%)|2.02|0.37|0.30|-|-|-
N 				(%)|0.190|0.061|0.046|-|-|-
C/N|11|6|7|-|-|-
T 				                              <2 Âµ|22.1|67.6|40.4|49.0|41.7|36.9
E 				                           2-20 Âµ|20.4|20.6|26.5|14.3|20.7|23.1
X 				                           2-50 Âµ|51.8|27.4|48.3|35.0|44.9|42.8
T 				                         50-74 Âµ|8.2|1.3|3.7|7.5|4.9|8.7
U 				                      74-100 Âµ|6.5|0.7|1.7|3.4|2.8|6.4
R 				                    100-250 Âµ|6.4|1.7|3.9|3.2|3.9|3.7
A 				                    250-500 Âµ|4.3|1.2|1.7|1.8|1.6|1.4
500-1000 Âµ|0.7|-|0.3|0.1|0.2|0.1
1000-2000 Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|vest.|1.0|vest.|vest.|vest.|vest.
Equivalente 				de humedad  (%)|24.7|70.7|50.5|56.0|48.5|41.3
Resistencia 				de la pasta (Ohms/cm)|958|430|430|544|698|828
pH 				en pasta|7.9|7.9|8.1|8.4|8.2|8.1
pH 				en agua (1:2,5)|8.3|8.6|8.8|9.1|9.1|9.2
pH 				en KCl (1:2,5)|6.7|7.3|7.2|7.3|7.0|6.8
Conductividad 				(mmhos/cm)|3.65|14.31|8.11|4.29|2.35|1.7
Mg++|-|-|-|-|-|-
Na+|3.3|-|-|-|-|-
K+|4.9|-|-|-|-|-
H+|-|-|-|-|-|-
Na+ 				% del valor T|32|-|-|-|-|-
Suma 				de bases, m.e./100 gr (S)|-|-|-|-|-|-
C.I.C., 				m.e./100 gr (T)|15.5|-|-|-|-|-
SaturaciÃ³n 				con bases, (%) (S/T)|-|-|-|-|-|-
