er185c||||
NÂº 				de registro|7212|7213|7214|7215
Horizonte|I|II|III|IV
Profundidad 				(cm)|02-25|35-50|56-66|75-95
Mat.orgÃ¡nica 				(%)|1.25|0.30|0.15|0.14
N 				(%)|0.06|0.02|0.01|0.01
C/N|10.63|6.96|7.27|8.89
||||
CO3Ca 				(%)|0.0|0.0|0.0|0.0
pH 				H2O|5.7|5.7|5.8|6.0
pH 				ClK|5.0|5.1|5.1|5.3
C.E. 				(mmhos/cm)|0.19|0.16|0.16|0.17
Capacidad 				de intercambio catiÃ³nico  (m.e./100 				g) =  Valor 				T|8.75|2.80|1.80|1.58
d 				      Ca ++|6.20|1.60|0.80|2.40
C 				    e||||
a 				             Mg++|1.49|0.30|0.10|0.09
t 				     C||||
i 				      a       K+|0.18|0.10|0.08|0.05
o 				    m||||
n 				    b       Na+|0.15|0.10|0.05|0.05
e 				     i||||
s 				     o       H+|-|-|-|-
% 				Na/T|1.71|3.57|2.77|3.16
Equivalente 				de  humedad  (%)|12.03|5.41|1.58|2.01
