er3_43c|||||
Horizonte|A1|B21|B22|B31ca|B32ca(g)
Profundidad 				(cm)|5-15|25-35|50-70|110-120|135-155
Mat.orgÃ¡nica 				(%)|5,02|2,99|2,13|1,15|0,10
C 				(%)|2,92|1,74|1,24|0,67|0,06
N 				(%)|0,237|0,159|0,120|0,101|ND
C/N|12|11|10|7|ND
|||||
CO3Ca 				(%)|0,0|0,0|0,0|1,2|8,8
% 				SaturaciÃ³n de Agua|||||
Equivalente 				de Humedad (%)|29,7|41,5|45,4|42,3|48,4
pH 				en pasta|4,8|5,4|6,6|7,4|7,6
pH 				en agua (1:2,5)|5,0|5,5|6,7|7,4|7,4
pH 				en ClK (1:2,5)|4,9|5,2|6,1|6,8|7,0
Conductividad 				(mmhos/cm)|||||
Sales 				solubles grs (%)|||||
Resistencia 				en pasta|||||
Mg 				++|2,5|3,3|3,0|ND|ND
Na 				++|0,3|0,7|1,2|1,3|1,4
K 				++|0,3|0,6|0,6|0,5|0,5
Valor 				S (m.e./ 100 gr.)|30,3|41,9|46,7|ND|ND
H 				de cambio (m.e. / 100 gr.)|9,6|4,2|2,3|ND|ND
Valor 				T (m.e. / 100 gr)|35,7|45,4|49,0|43,2|45,0
% 				de saturaciÃ³n de T|85|92|95|ND|ND
% 				de saturaciÃ³n de S + H|||||
% 				Na / T|0,8|1,5|2,4|3,0|3,1
