91c_inta_castelar||||||
NÂ° 				de registro||||||
Horizonte|O1|A1|IIC1|IIIC2|IVC3|VC4
Profundidad 				(cm)|-|5-12|15-20|36-70|80-95|150-170
Mat. 				orgÃ¡nica (%)|-|11.83|-|-|-|-
C 				(%)|-|6.86|-|-|-|-
N 				(%)|-|0.610|-|-|-|-
C/N|-|11|-|-|-|-
T 				                              <2 Âµ|-|55.6|47.6|15.8|15.8|3.8
E 				                           2-20 Âµ|-|24.9|28.5|3.0|12.5|2.7
X 				                           2-50 Âµ|-|31.5|37.3|14.1|49.1|7.2
T 				                         50-74 Âµ|-|4.5|7.3|26.3|16.9|13.3
U 				                      74-100 Âµ|-|6.6|5.5|33.2|11.8|22.2
R 				                    100-250 Âµ|-|1.7|2.1|10.4|6.2|50.9
A 				                    250-500 Âµ|-|0.1|0.1|0.2|0.1|2.5
500-1000 				Âµ|-|-|-|-|0.1|0.1
1000-2000 Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|-|0|0.1|vest 				(n)|vest 				(n)|0
Equivalente 				de humedad  (%)|-|57.4|44.5|15.8|18.4|4.1
Resistencia 				de la pasta (Ohms/cm)|-|1023|650|552|463|3248
pH 				en pasta|-|5.5|7.5|8.5|8.0|7.9
pH 				en agua (1:2,5)|-|6.0|8.2|9.2|8.8|8.7
pH 				en KCl (1:2,5)|-|4.7|6.3|8.0|7.5|7.4
Conductividad 				(mmhos/cm)|-|2.70|2.87|8.58|8.39|-
Mg++|-|6.8|-|-|-|-
Na+|-|10.7|9.2|2.5|3.7|-
K+|-|0.5|0.4|-|-|-
H+|-|20.8|-|-|-|-
Na+ 				% del valor T|-|15|34|63|65|-
Suma 				de bases, m.e./100 gr (S)|-|34.1|-|-|-|-
C.I.C., 				m.e./100 gr (T)|-|69.3|27.2|4.0|5.7|-
SaturaciÃ³n 				con bases, (%) (S/T)|-|49|-|-|-|-
