336c_inta_castelar|||||
NÂ° 				de registro|||||
Horizonte|A1|IIB21t|IIB22t|IIIB23t|IIIB24
Profundidad 				(cm)|5-14|24-44|55-75|90-110|125-140
Mat. 				orgÃ¡nica (%)|4.65|1.33|0.76|-|-
C 				(%)|2.7|0.77|0.44|-|-
N 				(%)|0.268|0.082|0.052|-|-
C/N|10|9|8|-|-
T 				                              <2 Âµ|37.5|54.4|64.7|57.3|56.9
E 				                           2-20 Âµ|26.2|16.7|14.1|21.4|20.8
X 				                           2-50 Âµ|49.9|34.7|27.8|35.2|36.8
T 				                         50-74 Âµ|5.4|4.5|1.8|4.2|3.7
U 				                      74-100 Âµ|3.1|3.3|1.1|0.8|0.6
R 				                    100-250 Âµ|3.3|2.2|1.4|1.3|1.5
A 				                    250-500 Âµ|0.8|0.9|0.3|0.4|0.4
500-1000 Âµ|-|-|-|0.1|0.1
1000-2000 Âµ|-|-|-|-|-
|||||
CO3Ca 				(%)|0|0|2.9|0.7|vest.
Equivalente 				de humedad  (%)|32.8|49.9|59.1|46.4|46.7
Resistencia 				de la pasta (Ohms/cm)|1433|1336|1293|1421|1705
pH 				en pasta|5.6|6.6|7.4|7.4|7.5
pH 				en agua (1:2,5)|6.6|7.6|8.0|8.4|8.4
pH 				en KCl (1:2,5)|5.3|6.0|6.8|6.7|6.4
Conductividad 				(mmhos/cm)|-|-|-|-|-
Mg++|3.7|6.4|-|-|-
Na+|0.5|1.0|2.1|2.4|4.0
K+|2.4|3.1|2.0|1.5|1.4
H+|9.9|8.3|-|-|-
Na+ 				% del valor T|2|3|5|7|12
Suma 				de bases, m.e./100 gr (S)|24.4|33.7|-|-|-
C.I.C., 				m.e./100 gr (T)|29.9|36.3|43.7|32.1|33.0
SaturaciÃ³n 				con bases, (%) (S/T)|82|93|-|-|-
