er146c|||||
NÂº de registro|944|945|946|947|948
Horizonte|A2|B2t|A1b|B2tb|B3cab
Profundidad (cm)|00-15|29-43|50-65|75-87|103-115
Mat.orgÃ¡nica (%)|1.19|1.76|2.78|1.45|0.71
N (%)|0.14|0.14|0.16|0.10|0.05
C/N|9|7|10|8|7
|||||
CO3Ca (%)|0.4|0.0|0.0|0.0|5.1
pH H2O|7.4|7.4|7.2|7.5|8.0
pH ClK|6.6|6.4|6.3|6.4|6.9
Capacidad de intercambio 				catiÃ³nico (m.e./100 g) =  Valor T|32.8|39.2|35.9|43.0|35.4
|||||
d       Ca ++|-|34.1|31.9|37.2|-
C     e|||||
a              Mg++|-|1.7|1.3|2.6|-
t      C|||||
i       a       K+|1.0|1.0|0.6|0.8|0.7
o     m|||||
n     b       Na+|0.4|0.2|0.2|0.3|0.8
e      i|||||
s      o       H+|-|2.2|3.2|2.2|-
% Na/T|1.2|0.5|0.6|0.7|2.3
Equivalente de humedad (%)|26.5|35.0|31.3|42.5|34.3
