106c_inta_castelar||||||
NÂ° 				de registro||||||
Horizonte|O1|A1|IIC1|IIIC2|IVC3|VC4
Profundidad 				(cm)|-|5-12|20-32|40-60|95-110|130-150
Mat. 				orgÃ¡nica (%)|-|24.48|3.62|-|-|-
C 				(%)|-|14.2|2.10|-|-|-
N 				(%)|-|1.26|0.198|-|-|-
C/N|-|11|11|-|-|-
T 				                              <2 Âµ|-|56.9|47.5|12.0|7.6|17.2
E 				                           2-20 Âµ|-|25.2|28.8|5.8|1.0|7.7
X 				                           2-50 Âµ|-|36.1|45.9|19.0|4.8|23.4
T 				                         50-74 Âµ|-|3.5|3.4|27.4|37.0|29.6
U 				                      74-100 Âµ|-|2.4|2.6|28.1|12.5|22.1
R 				                    100-250 Âµ|-|0.9|0.5|8.3|38.0|7.6
A 				                    250-500 Âµ|-|0.2|0.1|5.2|0.1|0.1
500-1000 Âµ|-|-|-|-|-|-
1000-2000 Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|-|0|0|0|0|0
Equivalente 				de humedad  (%)|-|74.2|33.8|11.6|3.2|12.4
Resistencia 				de la pasta (Ohms/cm)|-|4504|3261|9163|8541|2330
pH 				en pasta|-|5.7|5.5|5.9|5.8|5.4
pH 				en agua (1:2,5)|-|5.9|6.1|6.3|6.1|5.6
pH 				en KCl (1:2,5)|-|4.9|4.8|5.1|5.2|4.8
Conductividad 				(mmhos/cm)|-|-|-|-|-|-
Mg++|-|1.9|2.6|1.2||
Na+|-|0.9|0.7|0.2|0.4|0.6
K+|-|0.8|0.2|0.1|-|0.2
H+|-|27.1|16.0|3.9|1.6|4.8
Na+ 				% del valor T|-|2|3|3|13|8
Suma 				de bases, m.e./100 gr (S)|-|19.8|15.1|5.6|2.7|3.8
C.I.C., 				m.e./100 gr (T)|-|42.0|25.9|7.2|3.1|7.3
SaturaciÃ³n 				con bases, (%) (S/T)|-|47|58|78|87|52
