er3_64c|||||||
Horizonte|A1|B1|B21|B22|B31ca|B32ca|Cca
Profundidad 				(cm)|00-18|18-27|27-52|52-77|77-92|92-110|110+
Mat.orgÃ¡nica 				(%)|4,68|3,06|1,82|1,41|0,99|0,45|0,31
C 				(%)|2,72|1,78|1,06|0,82|0,58|0,26|0,18
N 				(%)|0,21|0,14|0,07|0,05|0,03|0,02|0,01
C/N|13|13|15|16|19|13|18
1000-2000 				Âµ|0,07|0,10|0,11|0,13|ND|0,12|0,12
CO3Ca 				(%)|0,0|0,0|0,0|Vest.|5,95|9,92|9,84
% 				SaturaciÃ³n de Agua|||||||
Equivalente 				de Humedad (%)|||||||
pH 				en pasta|||||||
pH 				en agua (1:2,5)|5,6|5,3|5,8|6,4|7,1|7,2|7,3
pH 				en ClK (1:2,5)|5,3|5,0|5,0|5,8|6,9|7,0|7,0
Conductividad 				(mmhos/cm)|||||||
Sales 				solubles grs (%)|||||||
Resistencia 				en pasta|||||||
Mg 				++|0,22|0,98|2,72|3,15|ND|ND|ND
Na 				++|-|-|-|-|-|-|1,72
K 				++|0,01|0,01|0,05|0,05|0,29|0,32|0,26
Valor 				S (m.e./ 100 gr.)|24,33|25,10|26,61|34,00|ND|ND|ND
H 				de cambio (m.e. / 100 gr.)|36,00|2,45|2,17|5,13|ND|ND|ND
Valor 				T (m.e. / 100 gr)|27,93|27,55|28,78|39,13|39,49|36,03|35,50
% 				de saturaciÃ³n de T|87|91|92|87|ND|ND|ND
% 				de saturaciÃ³n de S + H|||||||
% 				Na/T|-|-|-|-|-|-|4,8
FÃ³sforo 				asimilable ppm|5,8|4,3|3,4|4,3|4,9|1,6|1,6
