er714c||||||
NÂº 				de registro|3155|3156|3157|3158|3159|3160
Horizonte|A2|B1|B21t|B22tca|B3ca|Cca
Profundidad 				(cm)|02-10|13-24|28-37|45-55|62-75|85-105
Materia 				orgÃ¡nica (%)|4.23|2.24|2.09|1.93|0.83|0.24
N 				(%)|0.9|0.12|0.11|0.08|0.05|0.02
C/N|13|11|11|14|10|7
T 				              < 2 Î¼|32.62|46.19|56.81|49.32|43.10|39.45
E 				            2-20 Î¼|33.42|28.32|27.65|24.75|32.82|31.59
X 				            2-50 Î¼|66.21|52.87|42.73|50.20|56.25|56.27
T 				         50-100 Î¼|0.16|0.17|0.05|0.08|0.11|0.11
U 				       100-250 Î¼|0.95|0.75|0.40|0.39|0.49|4.11
R 				       250-500 				Î¼|0.00|0.00|0.00|0.00|0.00|0.00
A 				     500-1000 Î¼|0.06|0.02|0.01|0.01|0.05|0.06
CO3Ca 				(%)|0.0|0.0|0.0|4.7|9.3|8.1
pH 				H2O|6.3|7.2|7.8|8.0|8.0|7.9
pH 				ClK|5.3|6.2|6.9|7.1|7.2|7.2
Capacidad 				de intercambio  catiÃ³nico 				(m.e./100 g) =  valor 				T|35.10|39.58|52.54|51.22|45.49|44.25
d 				    Ca++|20.99|31.73|32.69|N.D.|N.D.|N.D.
C 				 e||||||
a 				         Mg++|2.52|3.58|10.25|N.D.|N.D.|N.D.
t 				   c||||||
i 				   a     K+|0.10|0.12|0.14|0.14|0.12|0.05
o 				  m||||||
n 				  b     Na+|1.00|2.02|2.47|3.37|2.85|5.47
e 				  i||||||
s 				  o     H+|10.49|2.13|7.09|N.D.|N.D.|N.D.
% 				Na/T|2.85|5.10|4.70|6.58|6.27|12.36
||||||
Equivalente 				de humedad (%)|32.55|45.10|49.90|47.77|39.41|38.29
P 				asimilable (ppm)|4.3|2.4|1.6|1.0|N.D.|N.D.
