n_registro|8515|8516|8517|8518|8519|8520|8521|8522|8523
Horizonte|A11|A12|B1|B21t|B22t|B23t|B31ca|B32ca|Cca
Profundidad (cm)|02-08|12-20|24-38|42-58|62-78|82-98|103-125|132-145|150-165
Materia 				orgÃ¡nica (%)|4.63|3.58|4.60|3.80|3.31|2.63|1.81|1.08|0.43
N (%)|0.21|0.17|0.15|0.11|0.07|0.06|0.03|0.02|0.00
C/N|12.09|11.56|17.45|19.45|24.21|20.87|27.03|23.08|40.00
T       				         < 2 Âµ|37.18|37.68|31.25|36.53|39.87|39.62|48.92|47.84|42.25
E              2-20 Âµ|29.76|30.90|36.32|32.76|32.95|36.24|35.84|39.94|44.96
X              2-50 Âµ|59.52|59.46|65.97|60.90|57.63|54.36|47.60|48.55|54.46
T          50-100 Âµ|0.65|0.76|0.81|1.11|0.71|0.46|0.24|0.30|0.28
U        100-500 Âµ|2.53|2.04|1.95|1.45|1.78|5.53|3.21|3.29|3.00
R      500-1000 Âµ|0.12|0.06|0.02|0.01|0.01|0.03|0.03|0.02|0.01
A   1000-2000 Âµ|-|-|-|-|-|-|-|-|-
CO3Ca 				(%)|-|-|-|-|-|vest.|2.02|5.31|4.95
pH H2O|6.9|6.9|6.8|6.9|7.0|7.2|7.9|8.0|8.0
pH ClK|6.3|6.3|6.1|6.1|6.2|6.2|7.0|7.0|7.0
C.E 				(mmhos/cm)|0.92|0.67|0.50|0.56|0.41|0.54|0.64|0.65|0.90
Capacidad de intercambio  CatiÃ³nico (meq/100g) =  valor T|46.4|47.0|43.8|44.5|50.4|51.0|63.4|59.8|55.3
% Na/T|2.80|4.04|2.50|2.70|3.57|3.53|3.63|3.51|3.66
Equiv. de humedad (%)|34.50|33.85|29.31|33.07|34.02|35.95|44.74|43.49|38.85
