er3_48c||||||
Horizonte|A1|B21|B22|B31ca|B32ca|Cca(g)
Profundidad 				(cm)|7-17|33-50|65-78|84-95|95-114|140-160
Mat.orgÃ¡nica 				(%)|4,79|2,33|1,51|1,11|0,34|0,07
C 				(%)|2,79|1,36|0,88|0,65|0,20|0,04
N 				(%)|0,253|0,148|0,072|0,057|0,042|ND
C/N|11|9|12|11|5|ND
CO3Ca 				(%)|0,0|0,0|0,0|1,4|9,0|2,7
% 				SaturaciÃ³n de Agua||||||
Equivalente 				de Humedad (%)|37,6|38,2|37,1|39,0|37,0|49,2
pH 				en pasta|5,4|5,5|6,0|6,9|7,4|7,3
pH 				en agua (1:2,5)|5,6|5,6|6,1|7,3|7,8|7,6
pH 				en ClK (1:2,5)|5,3|5,2|5,7|6,8|6,9|6,7
Conductividad 				(mmhos/cm)||||||
Sales 				solubles grs (%)||||||
Resistencia 				en pasta||||||
Mg 				++|1,9|2,5|2,1|ND|ND|ND
Na 				++|0,3|0,4|0,5|0,8|0,9|1,2
K 				++||||||
Valor 				S (m.e./ 100 gr.)|34,8|36,9|33,7|ND|ND|ND
H 				de cambio (m.e. / 100 gr.)|2,9|3,9|2,9|ND|ND|ND
Valor 				T (m.e. / 100 gr)|38,2|40,6|36,1|40,0|35,7|43,8
% 				de saturaciÃ³n de T|91|91|93|ND|ND|ND
% 				de saturaciÃ³n de S + H||||||
% 				Na/T|0,8|1,0|1,4|2,0|2,5|2,7
