er7142c|||||||
NÂ° 				de registro|6859|6860|6861|6862|6863|6864|6865
Horizonte|Ap|B1|B21|B22|B23|B3|C
Profundidad 				(cm|07-25|30-38|45-55|62-70|75-84|92-100|117-130
Factor 				de humedad|1.07|1.09|1.12|1.12|1.12|1.13|1.11
Materia 				orgÃ¡nica (%)|2.06|1.35|1.16|0.77|0.62|0.39|0.31
Carbono 				(%)|1.20|0.78|0.67|0.45|0.36|0.23|0.18
N 				(%)|0.21|0.17|0.11|0.07|0.04|0.04|0.02
C/N|15.79|11.30|14.89|13.24|16.36|16.43|15.00
T 				                        <2 Âµ|31.27|33.52|41.61|45.14|47.01|43.70|40.98
E 				                     2-20 Âµ|34.75|39.84|37.04|30.01|28.30|30.00|34.11
X 				                    2-50 Âµ|64.47|62.17|55.56|52.25|50.38|53.75|57.19
T 				                 50-100 Âµ|0.49|0.37|0.21|0.24|0.26|0.34|0.41
U 				               100-250 Âµ|3.50|3.67|2.42|2.32|2.31|2.17|1.40
R 				               250-500 Âµ|-|-|-|-|-|-|-
A 				             500-1000 Âµ|0.27|0.27|0.20|0.05|0.04|0.04|0.02
CO3Ca 				(%)|0.0|0.0|0.0|0.5|0.09|0.0|0.0
pH 				H2O|8.1|8.0|7.8|8.1|8.3|8.2|7.9
pH 				ClK|6.6|6.6|6.6|7.0|6.7|6.5|6.2
Conductividad 				elÃ©ctrica mmhos/cm|0.516|0.493|0.502|0.808|0.812|0.833|0.890
Capacidad 				de intercambio catiÃ³nico (m.e./100 g) = Valor 				T|31.51|34.62|40.10|44.74|47.11|43.91|39.16
%Na/T|8.72|7.94|7.11|6.71|7.79|8.20|5.77
Equivalente 				de humedad (%)|30.94|35.20|43.14|47.18|49.01|45.32|40.00
P 				asimilable (ppm)|3.7|2.0|2.0|2.0|2.0|1.9|1.6
