322c_inta_castelar||||||
NÂ° 				de registro||||||
Horizonte|A1|IIB21t|IIIB22t|IVC1|VC2|VIC3
Profundidad 				(cm)|5-10|15-35|45-60|66-76|90-120|135-160
Mat. 				orgÃ¡nica (%)|3.83|1.81|0.67|-|-|-
C 				(%)|2.22|1.05|0.39|-|-|-
N 				(%)|0.289|0.114|0.057|-|-|-
C/N|8|9|7|-|-|-
T 				                              <2 Âµ|26.5|57.8|59.6|11.2|27.7|11.3
E 				                           2-20 Âµ|21.9|20.6|35.7|-|7.6|4.3
X 				                           2-50 Âµ|27.8|23.3|37.0|0.3|19.6|10.1
T 				                         50-74 Âµ|1.2|0.3|0.3|0.1|3.6|2.2
U 				                      74-100 Âµ|1.4|0.4|0.2|0.4|3.6|5.3
R 				                    100-250 Âµ|26.4|11.0|1.6|56.1|38.3|60.1
A 				                    250-500 Âµ|15.1|5.9|1.0|25.3|7.1|10.0
500-1000 Âµ|1.6|1.3|0.1|6.6|0.1|1.0
1000-2000 Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|0|0|0.2|0|0|0
Equivalente 				de humedad  (%)|25.2|59.3|61.8|7.4|32.1|12.6
Resistencia 				de la pasta (Ohms/cm)|2351|290|256|3043|934|18671
pH 				en pasta|5.2|7.3|7.5|6.8|7.3|7.2
pH 				en agua (1:2,5)|6.5|8.0|8.8|8.3|8.6|8.4
pH 				en KCl (1:2,5)|4.4|6.1|6.8|6.4|6.2|6.0
Conductividad 				(mmhos/cm)|-|10.65|11.75|-|2.13|-
Mg++|1.9|8.1|-|1.05|6.9|1.90
Na+|0.5|10.3|15.6|0.50|3.0|0.80
K+|1.4|2.5|1.7|0.10|0.4|0.25
H+|12.6|5.5|-|0.60|1.6|0.80
Na+ 				% del valor T|3|32|43|19|25|19
Suma 				de bases, m.e./100 gr (S)|8.2|31.5|-|2.65|12.2|4.50
C.I.C., 				m.e./100 gr (T)|15.5|32.3|36.3|2.70|12.0|4.30
SaturaciÃ³n 				con bases, (%) (S/T)|53|98|-|98|100|100
