337c_inta_castelar|||||
NÂ° 				de registro|||||
Horizonte|A1|IIB21t|IIB22t|IIIB23t|IVB3
Profundidad 				(cm)|5-12|20-40|65-85|98-112|120-140
Mat. 				orgÃ¡nica (%)|4.64|0.59|-|-|-
C 				(%)|2.69|0.34|-|-|-
N 				(%)|0.247|0.048|-|-|-
C/N|11|7|-|-|-
T 				                              <2 Âµ|32.4|47.8|49.0|55.0|40.9
E 				                           2-20 Âµ|22.7|23.1|17.8|16.4|20.8
X 				                           2-50 Âµ|46.6|39.1|37.3|36.0|41.6
T 				                         50-74 Âµ|7.3|6.4|6.2|4.2|9.6
U 				                       74-100 Âµ|4.9|2.4|2.5|2.2|3.6
R 				                     100-250 Âµ|6.5|3.3|3.4|2.2|3.3
A 				                     250-500 Âµ|2.3|0.6|1.3|0.4|1.0
500-1000 Âµ|-|-|-|-|-
1000-2000 Âµ|-|-|-|-|-
|||||
CO3Ca 				(%)|0|0.4|0.3|vest.|vest.
Equivalente 				de humedad  (%)|32.1|55.4|60.1|61.5|33.2
Resistencia 				de la pasta (Ohms/cm)|2274|1563|2711|1807|2259
pH 				en pasta|5.1|7.7|7.7|7.6|7.6
pH 				en agua (1:2,5)|6.5|9.2|9.0|9.0|8.9
pH 				en KCl (1:2,5)|4.8|6.6|6.8|6.5|6.3
Conductividad 				(mmhos/cm)|-|-|-|-|-
Mg++|4.8|-|-|-|-
Na+|0.7|6.6|7.2|6.8|4.5
K+|0.6|1.1|1.3|1.5|1.2
H+|11.6|-|-|-|-
Na+ 				% del valor T|3|25|24|19|18
Suma 				de bases, m.e./100 gr (S)|15.1|-|-|-|-
C.I.C., 				m.e./100 gr (T)|22.8|26.4|30.5|35.6|25.0
SaturaciÃ³n 				con bases, (%) (S/T)|66|-|-|-|-
Observaciones: 				Tosca Ca %|-|0.6|1.2|1.6|-
