87c_inta_castelar||||||
NÂ° 				de registro||||||
Horizonte|A/C|C1|C2|C3|IIC4|IIC5
Profundidad 				(cm)|3-10|25-35|50-60|75-88|102-118|143-160
Mat. 				orgÃ¡nica (%)|1.52|1.02|0.10|-|-|-
C 				(%)|0.88|0.59|0.06|-|-|-
N 				(%)|0.077|0.057|-|-|-|-
C/N|11|10|-|-|-|-
T 				                              <2 Âµ|3.5|3.5|1.6|1.0|4.7|3.0
E 				                           2-20 Âµ|1.1|3.5|1.4|2.0|7.7|2.2
X 				                           2-50 Âµ|4.1|5.2|3.2|2.5|13.5|4.0
T 				                         50-74 Âµ|0.1|0.5|0.1|0.1|0.1|0.1
U 				                      74-100 Âµ|0.3|0.3|0.1|0.1|0.2|0.1
R 				                    100-250 Âµ|58.6|67.9|68.6|72.0|71.6|83.0
A 				                    250-500 Âµ|33.3|22.5|26.3|24.2|9.9|9.8
500-1000 Âµ|0.1|0.1|0.1|0.1|-|-
1000-2000 Âµ|-|-|-|-|-|-
||||||
CO3Ca 				(%)|0|0|0|0|0|0
Equivalente 				de humedad  (%)|4.6|4.1|1.7|0.9|5.8|1.6
Resistencia 				de la pasta (Ohms/cm)|5148|14801|14801|50193|16731|77220
pH 				en pasta|5.2|4.3|4.6|5.1|4.3|5.7
pH 				en agua (1:2,5)|6.1|5.6|5.7|6.1|5.5|6.0
pH 				en KCl (1:2,5)|5.0|3.7|3.9|4.7|3.9|4.4
Conductividad 				(mmhos/cm)|-|-|-|-|-|-
Mg++|1.85|1.25|1.40|0.90|1.40|1.35
Na+|0.20|0.30|0.25|0.25|0.35|0.60
K+|0.30|0.20|0.10|0.05|0.20|0.10
H+|3.20|3.60|2.20|0.60|3.20|0.80
Na+ 				% del valor T|4|8|10|18|9|18
Suma 				de bases, m.e./100 gr (S)|4.40|2.95|2.40|1.45|3.15|3.40
C.I.C., 				m.e./100 gr (T)|5.00|3.80|2.45|1.40|3.95|3.35
SaturaciÃ³n 				con bases, (%) (S/T)|88|78|98|100|80|100
